region,category,parameter,mode,powertrain,year,value,unit_GWh,unit_Milion barrels per day,"unit_Oil displacement, million lge",unit_Vehicles,unit_charging points,unit_percent
Austria,Historical,EV charging points,EV,Publicly available fast,2019,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available slow,2019,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available fast,2020,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available slow,2020,0.1000000014901161,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available fast,2021,1600.0,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available slow,2021,8900.0,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available fast,2022,2600.0,0,0,0,0,1,0
Austria,Historical,EV charging points,EV,Publicly available slow,2022,13000.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available fast,2013,47.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available slow,2013,330.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available fast,2014,55.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available slow,2014,560.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available fast,2015,77.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available slow,2015,1300.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available fast,2016,110.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available slow,2016,1500.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available fast,2017,220.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available slow,2017,1500.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available fast,2018,240.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available slow,2018,2700.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available fast,2019,360.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available slow,2019,6100.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available fast,2020,480.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available slow,2020,8000.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available fast,2021,790.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available slow,2021,12000.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available fast,2022,1100.0,0,0,0,0,1,0
Belgium,Historical,EV charging points,EV,Publicly available slow,2022,23000.0,0,0,0,0,1,0
Brazil,Historical,EV charging points,EV,Publicly available fast,2018,4.900000095367432,0,0,0,0,1,0
Brazil,Historical,EV charging points,EV,Publicly available slow,2018,450.0,0,0,0,0,1,0
Brazil,Historical,EV charging points,EV,Publicly available fast,2019,4.900000095367432,0,0,0,0,1,0
Brazil,Historical,EV charging points,EV,Publicly available slow,2019,450.0,0,0,0,0,1,0
Brazil,Historical,EV charging points,EV,Publicly available fast,2020,4.900000095367432,0,0,0,0,1,0
Brazil,Historical,EV charging points,EV,Publicly available slow,2020,450.0,0,0,0,0,1,0
Brazil,Historical,EV charging points,EV,Publicly available fast,2021,4.900000095367432,0,0,0,0,1,0
Brazil,Historical,EV charging points,EV,Publicly available slow,2021,700.0,0,0,0,0,1,0
Brazil,Historical,EV charging points,EV,Publicly available fast,2022,4.900000095367432,0,0,0,0,1,0
Brazil,Historical,EV charging points,EV,Publicly available slow,2022,1200.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available fast,2012,2.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available slow,2012,720.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available fast,2013,7.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available slow,2013,1200.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available fast,2014,55.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available slow,2014,2300.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available fast,2015,63.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available slow,2015,3400.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available fast,2016,140.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available slow,2016,3900.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available fast,2017,670.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available slow,2017,5200.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available fast,2018,840.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available slow,2018,7100.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available fast,2019,980.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available slow,2019,8000.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available fast,2020,2300.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available slow,2020,11000.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available fast,2021,3100.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available slow,2021,12000.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available fast,2022,3900.0,0,0,0,0,1,0
Canada,Historical,EV charging points,EV,Publicly available slow,2022,17000.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available fast,2011,1.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available slow,2011,1.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available fast,2012,4.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available slow,2012,6.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available fast,2013,5.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available slow,2013,8.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available fast,2014,5.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available slow,2014,13.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available fast,2015,5.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available slow,2015,22.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available fast,2016,5.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available slow,2016,22.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available fast,2017,6.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available slow,2017,35.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available fast,2018,8.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available slow,2018,61.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available fast,2019,42.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available slow,2019,130.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available fast,2020,99.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available slow,2020,240.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available fast,2021,120.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available slow,2021,360.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available fast,2022,220.0,0,0,0,0,1,0
Chile,Historical,EV charging points,EV,Publicly available slow,2022,440.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available fast,2014,9000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available slow,2014,21000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available fast,2015,12000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available slow,2015,47000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available fast,2016,55000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available slow,2016,86000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available fast,2017,83000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available slow,2017,130000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available fast,2018,110000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available slow,2018,160000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available fast,2019,210000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available slow,2019,300000.0,0,0,0,0,1,0
China,Projection-STEPS,EV charging points,EV,Publicly available fast,2020,310000.0,0,0,0,0,1,0
China,Projection-STEPS,EV charging points,EV,Publicly available slow,2020,500000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available fast,2020,310000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available slow,2020,500000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available fast,2021,470000.0,0,0,0,0,1,0
China,Projection-STEPS,EV charging points,EV,Publicly available fast,2021,470000.0,0,0,0,0,1,0
China,Projection-STEPS,EV charging points,EV,Publicly available slow,2021,680000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available slow,2021,680000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available fast,2022,760000.0,0,0,0,0,1,0
China,Historical,EV charging points,EV,Publicly available slow,2022,1000000.0,0,0,0,0,1,0
China,Projection-STEPS,EV charging points,EV,Publicly available fast,2022,760000.0,0,0,0,0,1,0
China,Projection-STEPS,EV charging points,EV,Publicly available slow,2022,1000000.0,0,0,0,0,1,0
China,Projection-STEPS,EV charging points,EV,Publicly available fast,2025,2000000.0,0,0,0,0,1,0
China,Projection-STEPS,EV charging points,EV,Publicly available slow,2025,2400000.0,0,0,0,0,1,0
China,Projection-STEPS,EV charging points,EV,Publicly available fast,2030,3600000.0,0,0,0,0,1,0
China,Projection-STEPS,EV charging points,EV,Publicly available slow,2030,4000000.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available fast,2012,3.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available slow,2012,900.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available fast,2013,56.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available slow,2013,990.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available fast,2014,120.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available slow,2014,1600.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available fast,2015,270.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available slow,2015,2100.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available fast,2016,310.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available slow,2016,4200.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available fast,2017,370.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available slow,2017,4200.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available fast,2018,390.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available slow,2018,4300.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available fast,2019,450.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available slow,2019,4500.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available fast,2020,560.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available slow,2020,5400.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available fast,2021,240.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available slow,2021,7000.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available fast,2022,1200.0,0,0,0,0,1,0
Denmark,Historical,EV charging points,EV,Publicly available slow,2022,8300.0,0,0,0,0,1,0
Europe,Projection-STEPS,EV charging points,EV,Publicly available fast,2020,32000.0,0,0,0,0,1,0
Europe,Projection-STEPS,EV charging points,EV,Publicly available slow,2020,220000.0,0,0,0,0,1,0
Europe,Projection-STEPS,EV charging points,EV,Publicly available fast,2021,46000.0,0,0,0,0,1,0
Europe,Projection-STEPS,EV charging points,EV,Publicly available slow,2021,310000.0,0,0,0,0,1,0
Europe,Projection-STEPS,EV charging points,EV,Publicly available fast,2022,68000.0,0,0,0,0,1,0
Europe,Projection-STEPS,EV charging points,EV,Publicly available slow,2022,450000.0,0,0,0,0,1,0
Europe,Projection-STEPS,EV charging points,EV,Publicly available fast,2025,200000.0,0,0,0,0,1,0
Europe,Projection-STEPS,EV charging points,EV,Publicly available slow,2025,1000000.0,0,0,0,0,1,0
Europe,Projection-STEPS,EV charging points,EV,Publicly available fast,2030,480000.0,0,0,0,0,1,0
Europe,Projection-STEPS,EV charging points,EV,Publicly available slow,2030,1900000.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available fast,2013,17.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available slow,2013,250.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available fast,2014,26.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available slow,2014,360.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available fast,2015,130.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available slow,2015,710.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available fast,2016,140.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available slow,2016,710.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available fast,2017,140.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available slow,2017,710.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available fast,2018,220.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available slow,2018,710.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available fast,2019,340.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available slow,2019,1800.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available fast,2020,410.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available slow,2020,3900.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available fast,2021,770.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available slow,2021,5800.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available fast,2022,1300.0,0,0,0,0,1,0
Finland,Historical,EV charging points,EV,Publicly available slow,2022,7700.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available fast,2012,9.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available slow,2012,800.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available fast,2013,100.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available slow,2013,1700.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available fast,2014,110.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available slow,2014,1700.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available fast,2015,580.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available slow,2015,9900.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available fast,2016,1000.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available slow,2016,19000.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available fast,2017,1000.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available slow,2017,20000.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available fast,2018,1700.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available slow,2018,23000.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available fast,2019,2000.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available slow,2019,28000.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available fast,2020,3300.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available slow,2020,31000.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available fast,2021,4500.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available slow,2021,50000.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available fast,2022,9700.0,0,0,0,0,1,0
France,Historical,EV charging points,EV,Publicly available slow,2022,74000.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available fast,2012,18.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available slow,2012,1500.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available fast,2013,47.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available slow,2013,2400.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available fast,2014,120.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available slow,2014,2600.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available fast,2015,470.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available slow,2015,4600.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available fast,2016,630.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available slow,2016,5800.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available fast,2017,1400.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available slow,2017,9400.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available fast,2018,2500.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available slow,2018,17000.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available fast,2019,3900.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available slow,2019,26000.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available fast,2020,6200.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available slow,2020,37000.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available fast,2021,9300.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available slow,2021,50000.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available fast,2022,13000.0,0,0,0,0,1,0
Germany,Historical,EV charging points,EV,Publicly available slow,2022,64000.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available slow,2013,10.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available fast,2014,2.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available slow,2014,14.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available fast,2015,2.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available slow,2015,14.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available fast,2016,2.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available slow,2016,15.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available fast,2017,2.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available slow,2017,22.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available fast,2018,10.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available slow,2018,31.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available fast,2019,10.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available slow,2019,63.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available fast,2020,14.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available slow,2020,220.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available fast,2021,100.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available slow,2021,1200.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available fast,2022,190.0,0,0,0,0,1,0
Greece,Historical,EV charging points,EV,Publicly available slow,2022,2800.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available fast,2014,6.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available fast,2015,11.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available slow,2015,11.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available fast,2016,40.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available slow,2016,11.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available fast,2017,36.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available slow,2017,32.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available fast,2018,55.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available slow,2018,40.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available fast,2019,150.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available slow,2019,110.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available fast,2020,190.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available slow,2020,290.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available fast,2021,120.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available slow,2021,560.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available fast,2022,180.0,0,0,0,0,1,0
Iceland,Historical,EV charging points,EV,Publicly available slow,2022,850.0,0,0,0,0,1,0
India,Historical,EV charging points,EV,Publicly available fast,2016,25.0,0,0,0,0,1,0
India,Historical,EV charging points,EV,Publicly available fast,2017,25.0,0,0,0,0,1,0
India,Historical,EV charging points,EV,Publicly available slow,2017,220.0,0,0,0,0,1,0
India,Historical,EV charging points,EV,Publicly available fast,2018,25.0,0,0,0,0,1,0
India,Historical,EV charging points,EV,Publicly available slow,2018,330.0,0,0,0,0,1,0
India,Historical,EV charging points,EV,Publicly available fast,2019,25.0,0,0,0,0,1,0
India,Historical,EV charging points,EV,Publicly available slow,2019,330.0,0,0,0,0,1,0
India,Projection-STEPS,EV charging points,EV,Publicly available fast,2020,25.0,0,0,0,0,1,0
India,Projection-STEPS,EV charging points,EV,Publicly available slow,2020,330.0,0,0,0,0,1,0
India,Historical,EV charging points,EV,Publicly available fast,2020,25.0,0,0,0,0,1,0
India,Historical,EV charging points,EV,Publicly available slow,2020,330.0,0,0,0,0,1,0
India,Historical,EV charging points,EV,Publicly available fast,2021,32.0,0,0,0,0,1,0
India,Historical,EV charging points,EV,Publicly available slow,2021,910.0,0,0,0,0,1,0
India,Projection-STEPS,EV charging points,EV,Publicly available fast,2021,32.0,0,0,0,0,1,0
India,Projection-STEPS,EV charging points,EV,Publicly available slow,2021,910.0,0,0,0,0,1,0
India,Projection-STEPS,EV charging points,EV,Publicly available fast,2022,4100.0,0,0,0,0,1,0
India,Projection-STEPS,EV charging points,EV,Publicly available slow,2022,6800.0,0,0,0,0,1,0
India,Historical,EV charging points,EV,Publicly available fast,2022,4100.0,0,0,0,0,1,0
India,Historical,EV charging points,EV,Publicly available slow,2022,6800.0,0,0,0,0,1,0
India,Projection-STEPS,EV charging points,EV,Publicly available fast,2025,6000.0,0,0,0,0,1,0
India,Projection-STEPS,EV charging points,EV,Publicly available slow,2025,66000.0,0,0,0,0,1,0
India,Projection-STEPS,EV charging points,EV,Publicly available fast,2030,39000.0,0,0,0,0,1,0
India,Projection-STEPS,EV charging points,EV,Publicly available slow,2030,260000.0,0,0,0,0,1,0
Indonesia,Historical,EV charging points,EV,Publicly available fast,2020,51.0,0,0,0,0,1,0
Indonesia,Historical,EV charging points,EV,Publicly available slow,2020,50.0,0,0,0,0,1,0
Indonesia,Historical,EV charging points,EV,Publicly available fast,2021,130.0,0,0,0,0,1,0
Indonesia,Historical,EV charging points,EV,Publicly available slow,2021,54.0,0,0,0,0,1,0
Indonesia,Historical,EV charging points,EV,Publicly available fast,2022,130.0,0,0,0,0,1,0
Indonesia,Historical,EV charging points,EV,Publicly available slow,2022,580.0,0,0,0,0,1,0
Israel,Historical,EV charging points,EV,Publicly available fast,2015,0.1000000014901161,0,0,0,0,1,0
Israel,Historical,EV charging points,EV,Publicly available slow,2015,0.1000000014901161,0,0,0,0,1,0
Israel,Historical,EV charging points,EV,Publicly available fast,2016,0.1000000014901161,0,0,0,0,1,0
Israel,Historical,EV charging points,EV,Publicly available slow,2016,0.1000000014901161,0,0,0,0,1,0
Israel,Historical,EV charging points,EV,Publicly available fast,2017,0.1000000014901161,0,0,0,0,1,0
